iter	Passed	Remaining
0	155	155036
1	156	78267
2	159	52968
3	161	40151
4	163	32505
5	165	27385
6	167	23708
7	169	20965
8	170	18812
9	172	17087
10	175	15782
11	177	14597
12	181	13760
13	183	12937
14	185	12199
15	187	11517
16	189	10985
17	191	10470
18	193	10000
19	197	9656
20	200	9325
21	203	9032
22	205	8747
23	208	8461
24	209	8184
25	213	7985
26	214	7746
27	218	7602
28	221	7402
29	222	7205
30	225	7039
31	227	6893
32	229	6739
33	231	6581
34	233	6436
35	235	6296
36	236	6163
37	238	6039
38	240	5919
39	242	5814
40	243	5703
41	245	5591
42	247	5519
43	251	5472
44	254	5399
45	259	5380
46	262	5316
47	264	5238
48	267	5184
49	269	5111
50	270	5040
51	273	4977
52	275	4918
53	277	4858
54	279	4804
55	282	4754
56	284	4701
57	286	4650
58	288	4601
59	291	4569
60	293	4520
61	297	4496
62	298	4446
63	301	4402
64	304	4384
65	307	4344
66	309	4304
67	312	4286
68	314	4249
69	316	4211
70	321	4212
71	323	4174
72	325	4136
73	327	4101
74	332	4097
75	335	4076
76	337	4050
77	340	4020
78	341	3986
79	345	3978
80	347	3946
81	349	3913
82	352	3896
83	354	3865
84	356	3834
85	357	3802
86	359	3773
87	361	3742
88	364	3727
89	365	3695
90	368	3677
91	370	3656
92	372	3629
93	376	3624
94	378	3603
95	380	3578
96	381	3554
97	383	3529
98	386	3519
99	388	3496
100	391	3484
101	393	3463
102	395	3440
103	396	3419
104	398	3397
105	400	3377
106	402	3361
107	404	3342
108	406	3322
109	408	3302
110	409	3282
111	411	3261
112	414	3251
113	415	3230
114	418	3219
115	420	3201
116	422	3185
117	425	3183
118	428	3169
119	429	3151
120	431	3133
121	433	3117
122	436	3110
123	438	3094
124	439	3077
125	442	3070
126	444	3054
127	446	3039
128	447	3023
129	454	3040
130	458	3038
131	460	3027
132	462	3014
133	464	2999
134	466	2989
135	468	2975
136	471	2969
137	473	2957
138	481	2981
139	483	2971
140	486	2962
